parid,elev
3531540,10
3534417,10
3517547,5
3531736,10
3531841,10
3535201,10
3535286,10
3531841,10
3535308,10
3535359,10
3531850,10
3535456,10
3532945,10
3535464,10
3535553,10
3532953,10
3517555,10
3532970,10
3533208,10
3535561,10
3535588,10
3536070,10
3536070,10
3536126,10
3535651,10
3535758,10
3535791,10
3518918,10
3535928,10
3536134,10
3536142,10
3535944,10
3536771,10
3536002,10
3536789,10
3519124,10
3538684,10
3538854,10
3536878,10
3536924,10
3536924,10
3538889,15
3537106,10
3537114,10
3537211,10
3519418,10
3538978,15
3539061,10
3537424,10
3539079,10
3537441,10
3537645,10
3520025,5
3539133,10
3537645,10
3538510,10
3539141,10
3538528,10
3539231,15
3539273,15
3538528,10
3538552,10
3538579,20
3538587,20
3520246,10
3539303,15
3538595,20
3542169,10
3539419,10
3539427,10
3542207,10
3520301,10
3542215,10
3539575,10
3539621,10
3542223,10
3542223,10
3539842,5
3539842,5
3540115,10
3540123,10
3542398,10
4535462,10
3540352,10
3542398,10
3542525,10
3542568,10
3542584,10
3540557,10
3542614,10
3540565,10
4535241,10
6796238,20
3542631,10
3542851,10
3542908,10
6633282,20
3512014,10
4534059,10
3542916,10
3544366,10
3529651,10
6615209,10
6615209,10
6535116,15
6533351,15
3538421,15
4535039,10
3541898,10
4998993,20
3105681,15
4998993,20
4590277,10
3291476,40
4795952,5
6750190,25
3430930,25
4990712,25
5753816,20
4990666,25
3104781,5
6260460,20
5348261,25
5364291,5
6030227,20
5347095,25
5346773,25
5918181,20
5916545,20
6418802,25
5755894,20
5916545,20
6261474,20
5755657,20
5755614,20
5918742,20
5755614,20
5756220,20
5917282,20
5760031,20
6261164,20
5760057,20
3429265,25
5760162,20
6610533,25
6411956,20
6557934,5
6610541,25
6260991,20
5190625,20
5190528,20
3107616,20
3107292,20
3429818,25
4827218,20
3109333,20
3106661,20
6260982,20
3106580,20
3107110,20
3567013,10
4998799,20
3567021,10
3567331,20
6836817,20
3567692,10
3567048,15
4826581,20
3567048,15
3106881,20
5656675,20
5654486,20
3569156,15
5656624,20
5656594,20
3569440,15
3568486,15
3569458,10
3429940,25
3408055,10
