parid,elev
3415582,10
3415477,15
3415485,15
3415591,10
3415604,5
3415485,15
3414756,20
3415612,10
3415621,20
3415639,20
3415493,15
3415507,15
3415647,15
3414764,20
3415515,15
3415655,15
3415663,20
3415523,15
3415671,25
3415531,15
3415698,15
3415817,15
3414772,20
3415698,15
3415701,15
3415825,15
3415710,15
3415833,15
3415841,15
3415728,15
3414781,25
3415744,15
3415850,15
3415752,15
3415868,15
3415761,15
3415787,15
3415795,15
3415876,15
3415884,15
3414799,25
3415892,15
3415809,15
3416082,15
3415906,15
3416091,15
3414802,20
3416104,15
3416112,20
3415914,15
3415922,15
3416121,20
3415931,15
3414811,15
3416139,20
3415949,15
3416147,20
3416155,20
3415957,15
3414829,15
3416163,20
3415965,15
3415981,20
3415990,20
3416171,20
3416007,20
3416015,20
3416180,20
3414837,15
3416023,20
3416198,20
3416201,15
3416210,15
3416031,20
3416503,45
3416040,20
3416511,30
3414845,15
3416058,20
3416643,15
3416651,15
3416066,20
3416074,20
3416660,15
3416678,10
3417828,20
3414853,15
3416686,10
3416694,10
3416708,10
3417836,20
3416716,10
3417852,20
3417861,20
3417879,20
3414861,15
3417879,20
3416724,10
3416732,15
3417917,20
3416741,20
3417925,20
3416759,20
3414870,15
3416767,20
3416775,15
3417968,20
3416783,15
3416791,15
3417976,20
3418026,15
3416805,15
3418034,15
3414888,15
3416813,15
3416821,20
3416830,20
3418042,15
3418051,15
3416848,20
3414896,20
3418069,15
3418077,15
3416856,15
3416864,15
3416872,15
3418093,15
3418107,15
3414900,20
3418115,15
3418123,15
3416881,15
3418336,15
3418131,5
3418344,20
3418140,15
3418158,15
3418352,20
3418361,15
3418379,15
3414918,15
3418166,15
3418174,15
3418182,10
3418191,15
3418387,15
3418395,15
3418204,15
3418212,15
3418221,15
3418239,15
3418409,15
3414926,15
3418417,15
3418425,15
3418433,15
3418247,5
3418441,20
3418255,5
3414934,15
3418450,15
3418468,15
3418271,15
3418271,15
3418280,15
3418476,20
3418484,15
3414942,20
3418298,20
3418492,15
3418301,15
3418506,15
3418310,15
3418620,10
3418514,15
3418522,15
3418531,20
3414951,20
3418638,10
3418549,20
3418646,10
3418654,15
3418557,15
3418662,20
3418671,15
3418573,10
3418581,15
3414969,20
3418590,20
3418689,20
3418697,15
3418603,15
3418611,15
3419260,15
3419278,15
3418701,15
3418913,15
3419294,15
3418719,15
3418727,15
3419316,15
3418735,15
3419332,20
3419341,20
3418948,15
3419375,20
3418743,15
3419383,15
3418751,15
3419391,15
3418760,15
3419405,15
3419413,15
3419421,15
3418956,15
3418778,15
3419430,15
3419448,15
3419456,15
3418786,20
3419464,15
3419472,20
3419481,20
3418964,15
3418794,20
3418808,20
3419499,15
3419502,15
3419511,15
3418816,20
3419529,15
3419537,15
3418972,10
3419545,15
3418832,10
3418841,10
3419553,15
3419561,15
3418859,15
3418972,10
3418867,10
3419596,15
3418875,10
3418883,15
3419600,15
3418981,15
3418905,15
3419570,15
3419863,15
3419871,20
3419880,20
3419618,20
3419626,20
3419898,20
3418981,15
3419901,20
3419634,15
3419910,20
3419642,15
3419928,20
3419936,15
3419944,15
3419651,15
3419952,15
3419014,15
3419961,15
3419669,15
3419979,15
3419987,15
3419995,15
3419677,15
3419685,15
3419693,15
3419022,15
3420004,15
3420012,15
3419707,15
3419715,15
3420021,15
3419723,15
3420039,25
3419031,15
3419731,15
3420047,25
3419740,15
3420055,25
3420063,20
3419758,15
3419766,20
3419049,15
3420071,25
3419774,20
3420080,25
3419782,15
3420098,25
3419791,15
3420101,25
3419057,15
3420110,25
3419804,15
3419812,15
3420128,25
3419821,20
3420136,25
3420144,25
3420152,25
3419081,15
3420161,25
3419839,20
3420179,20
3420187,20
3419847,15
3419855,15
3420390,10
3420403,10
3420411,10
3420195,20
3419090,10
3420420,15
3420209,20
3420217,20
3420438,10
3420446,10
3420225,25
3420233,20
3420241,20
3419103,15
3420454,15
3420250,20
3420462,15
3419111,15
3420268,15
3420471,10
3420489,10
3420276,15
3420284,15
3420292,15
3420497,10
3420501,10
3419120,20
3420306,15
3420314,15
3420519,10
3420527,20
3420322,10
3420331,10
3420349,15
3419146,10
3420535,20
3420543,20
3420357,15
3420365,15
3420551,20
3420560,20
3420373,15
3420578,20
3420586,15
3419154,15
3420381,15
3420594,15
3421272,20
3420608,15
3420641,15
3420616,15
3420659,15
3420624,15
3419162,20
3420659,15
3420659,15
3420675,20
3420632,15
3420942,20
3420951,20
3420969,20
3420691,20
3420705,20
3419189,15
3420977,20
3420985,20
3420993,20
3420713,20
3421001,20
3420721,15
3421019,15
3419227,15
3421027,15
3420730,15
3420748,15
3421035,15
3420756,15
3421043,15
3420764,15
3419235,15
3421051,15
3420772,15
3421060,15
3420781,15
3421078,15
3420799,15
3420802,15
3419243,10
3420811,15
3421086,15
3421094,20
3420829,15
3420837,20
3421108,20
3420845,20
3421116,15
3420853,20
3419588,15
3420861,15
3420870,15
3420888,15
3421116,15
3420896,15
3420900,15
3420918,15
3421299,20
3421167,20
3420926,15
3421175,15
3420934,15
3421183,15
3421523,15
3421191,15
3421345,20
3421531,15
3421205,15
3421540,15
3421558,15
3421213,15
3421566,15
3421221,15
3421230,15
3421574,15
3421353,15
3421582,15
3421248,20
3421256,20
3421264,20
3421787,15
3421591,15
3421604,15
3421612,15
3421795,15
3421621,15
3421361,15
3421639,15
3421809,15
3421817,15
3421825,15
3421647,15
3421655,15
3421833,15
3421370,15
3421841,15
3421663,15
3421850,15
3421671,15
3421868,15
3421680,15
3421388,15
3421701,15
3421876,15
3421884,15
3421710,15
3421892,15
3421728,15
3421906,15
3421396,15
3421914,15
3421736,15
3421744,15
3421922,15
3421931,15
3421752,15
3421400,20
3421761,15
3421779,15
3422007,15
3421949,15
3422015,15
3422023,15
3421957,15
3422031,15
3421418,15
3422040,15
3422058,15
3421965,15
3421973,15
3422066,15
3421981,15
3421990,15
3422074,15
3421426,15
3422201,10
3422082,15
3422091,15
3422210,10
3422104,15
3422228,10
3421434,15
3422112,15
3422228,10
3422121,15
3422139,10
3422236,15
3422147,10
3422155,10
3421442,15
3422163,10
3422244,10
3422252,10
3422171,15
3422261,10
3422180,10
3422198,10
3422422,10
3421451,15
3422279,5
3422431,10
3422449,15
3422287,5
3422295,10
3422309,10
3422457,15
3422465,15
3421469,15
3422473,15
3422317,10
3422546,15
3422325,10
3422333,10
3422341,15
3422350,10
3421477,15
3422554,15
3422562,15
3422368,10
3422571,15
3422376,10
3421485,15
3422589,15
3422597,15
3422384,10
3422601,15
3422392,5
3422406,10
3422619,15
3422414,10
3422627,15
3421493,20
3422759,20
3422635,15
3422643,10
3423755,25
3423763,10
3422660,5
3423771,10
3422678,10
3423798,10
3421507,15
3424999,10
3422686,15
3422694,15
3422708,15
3425006,10
3425014,10
3425022,10
3422716,15
3421515,15
3425031,10
3425049,10
3425057,10
3422724,25
3422732,25
3425146,15
3425065,10
3425405,15
3425413,15
3425421,15
3425430,15
3425073,10
3425081,10
3425448,10
3425456,10
3425090,15
3425154,15
3425103,10
3425111,15
3425464,10
3425472,10
3425120,10
3425138,15
3425391,15
3425162,15
3425481,10
3425642,10
3425499,10
3425502,10
3425642,10
3425171,15
3425651,5
3425511,10
3425669,5
3425677,5
3425685,5
3425529,10
3425693,5
3425189,15
3425537,10
3425707,5
3425545,10
3425715,5
3425553,15
3425561,15
3425570,15
3425723,5
3425588,10
3425197,15
3425596,10
3425731,10
3425600,10
3425618,10
3425740,10
3425626,10
3425634,15
3425880,10
3425758,15
3425766,15
3425201,10
3425898,10
3425901,10
3425910,10
3425774,15
3425928,15
3425782,15
3425936,10
3425219,10
3425944,20
3425952,20
3425961,20
3425791,15
3425979,20
3425987,20
3425804,5
3425812,5
3425995,20
3425227,10
3426002,20
3426029,20
3425821,5
3425839,5
3425847,5
3426037,20
3425855,5
3425235,10
3426045,20
3425863,5
3426053,20
3425871,5
3426142,20
3426061,20
3426070,20
3426151,20
3426088,20
3425243,10
3426096,20
3426169,20
3426177,20
3426185,20
3426193,20
3426100,20
3426207,20
3426215,15
3425243,10
3426118,20
3426126,20
3426223,20
3426134,20
3426436,20
3426444,20
3426231,20
3426240,20
3426452,20
3425251,10
3426258,20
3426461,20
3426266,20
3426479,20
3426487,20
3426274,20
3425260,10
3426282,20
3426495,20
3426291,20
3426304,20
3426509,20
3426517,20
3426525,20
3426312,15
3425278,10
3426533,20
3426321,20
3426541,20
3426339,20
3426550,20
3426568,20
3426576,20
3426347,15
3425286,10
3426355,20
3426584,20
3426363,15
3426592,20
3426371,25
3426606,20
3425294,10
3426380,20
3426398,25
3426614,15
3426622,15
3426631,20
3426401,20
3426649,25
3426657,25
3425308,10
3426410,20
3426428,20
3426665,25
3426711,25
3426673,25
3426720,25
3426681,25
3425316,10
3426690,25
3426703,25
3426738,25
3426746,25
3427041,20
3427068,15
3426754,20
3425324,10
3427084,15
3427092,5
3427106,5
3427114,5
3427122,5
3426762,20
3426771,20
3427131,5
3425332,20
3427149,5
3426789,25
3427157,5
3426797,25
3426801,25
3427165,5
3427173,5
3427181,5
3427190,10
3426819,25
3427203,5
3427220,10
3425341,15
3426827,25
3427238,5
3426835,25
3426843,25
3425359,15
3426851,25
3427246,5
3427254,10
3426860,25
3426878,25
3426886,25
3427262,5
3427271,10
3427289,5
3425367,15
3426894,25
3426908,25
3426916,25
3427297,5
3427301,5
3427335,5
3427343,5
3427351,5
